,typebldg,floor,room,basement,activity,pcterr,county,Uppm
0,1,1,2,N,0.3,0.0,APACHE              ,2.26437
1,0,9,0, ,0.6,33.3,APACHE              ,2.26437
2,1,1,3,N,0.5,0.0,APACHE              ,2.26437
3,1,1,3,N,0.6,97.2,APACHE              ,2.26437
4,1,1,1,N,0.3,0.0,APACHE              ,2.26437
5,1,1,1,N,1.2,22.7,APACHE              ,2.26437
6,0,9,0, ,5.0,8.5,APACHE              ,2.26437
7,1,1,1,N,3.5,9.2,APACHE              ,2.26437
8,0,9,0, ,1.2,14.9,APACHE              ,2.26437
9,1,1,3, ,0.6,40.8,APACHE              ,2.26437
10,1,1,1,N,1.3,15.8,APACHE              ,2.26437
11,1,1,2, ,0.4,0.0,APACHE              ,2.26437
12,1,0,2,Y,4.9,9.9,APACHE              ,2.26437
13,1,1,1,N,0.6,45.7,APACHE              ,2.26437
14,5,1,5,N,0.3,0.0,APACHE              ,2.26437
15,1,1,1,N,1.1,26.9,COCHISE             ,2.34707
16,0,1,1,N,0.7,23.8,COCHISE             ,2.34707
17,0,9,0, ,1.0,31.4,COCHISE             ,2.34707
18,1,1,7,N,0.6,28.3,COCHISE             ,2.34707
19,1,1,1,N,2.1,13.4,COCHISE             ,2.34707
20,1,0,1,Y,0.5,0.0,COCHISE             ,2.34707
21,1,1,1,N,0.4,0.0,COCHISE             ,2.34707
22,1,1,1,N,0.6,34.6,COCHISE             ,2.34707
23,1,1,7,Y,0.3,0.0,COCHISE             ,2.34707
24,1,1,3,N,0.4,0.0,COCHISE             ,2.34707
25,0,9,0,N,0.5,0.0,COCHISE             ,2.34707
26,0,9,0, ,1.9,22.8,COCHISE             ,2.34707
27,1,1,3,N,3.2,15.3,COCHISE             ,2.34707
28,1,1,3,N,0.8,43.7,COCHISE             ,2.34707
29,1,1,3,N,0.5,43.6,COCHISE             ,2.34707
30,0,9,0, ,0.5,0.0,COCHISE             ,2.34707
31,1,1,1,N,1.9,11.6,COCHISE             ,2.34707
32,1,1,3,N,2.2,10.5,COCHISE             ,2.34707
33,1,1,1,N,1.5,17.0,COCHISE             ,2.34707
34,5,1,1,N,2.9,12.8,COCHISE             ,2.34707
35,1,1,2,N,3.6,9.3,COCHISE             ,2.34707
36,1,1,1, ,5.8,5.7,COCHISE             ,2.34707
37,1,1,3,N,11.1,3.3,COCHISE             ,2.34707
38,1,1,3,N,2.2,13.0,COCHISE             ,2.34707
39,1,1,3,N,0.4,0.0,COCHISE             ,2.34707
40,1,1,1,N,3.7,6.5,COCHISE             ,2.34707
41,1,1,1,N,1.8,13.9,COCHISE             ,2.34707
42,1,1,3,N,0.2,0.0,COCHISE             ,2.34707
43,1,1,1,N,0.4,0.0,COCHISE             ,2.34707
44,1,1,3,N,0.2,0.0,COCHISE             ,2.34707
45,1,1,2,N,0.1,0.0,COCHISE             ,2.34707
46,0,9,0, ,0.0,0.0,COCHISE             ,2.34707
47,1,1,3,N,0.1,0.0,COCHISE             ,2.34707
48,1,1,1,N,0.6,44.9,COCHISE             ,2.34707
49,1,1,3,N,2.4,9.4,COCHISE             ,2.34707
50,0,9,0, ,2.0,12.2,COCHISE             ,2.34707
51,1,1,1,N,4.0,17.8,COCHISE             ,2.34707
52,5,1,7,N,0.7,40.2,COCHISE             ,2.34707
53,1,1,7,N,1.2,21.0,COCHISE             ,2.34707
54,1,0,7,N,2.1,12.6,COCONINO            ,2.01841
55,1,1,3,N,0.2,0.0,COCONINO            ,2.01841
56,0,9,0, ,0.1,0.0,COCONINO            ,2.01841
57,1,1,3,N,0.2,0.0,COCONINO            ,2.01841
58,1,1,7,N,0.6,26.5,COCONINO            ,2.01841
59,1,1,1,N,0.8,24.6,COCONINO            ,2.01841
60,1,1,3,N,0.7,31.8,COCONINO            ,2.01841
61,1,1,1,N,3.8,5.9,COCONINO            ,2.01841
62,1,1,1,N,1.8,19.9,COCONINO            ,2.01841
63,1,1,3,N,3.8,7.4,COCONINO            ,2.01841
64,1,1,1,N,3.2,13.9,COCONINO            ,2.01841
65,0,9,0, ,1.1,35.5,COCONINO            ,2.01841
66,1,1,1,N,3.7,9.6,COCONINO            ,2.01841
67,1,1,2,N,4.4,6.2,COCONINO            ,2.01841
68,5,1,1, ,2.1,11.1,COCONINO            ,2.01841
69,1,1,7,N,3.6,7.0,COCONINO            ,2.01841
70,1,1,3,N,3.0,12.7,COCONINO            ,2.01841
71,2,1,3,N,0.3,0.0,COCONINO            ,2.01841
72,1,1,3,N,1.6,12.4,COCONINO            ,2.01841
73,1,1,7,N,9.6,3.5,COCONINO            ,2.01841
74,1,1,5,N,0.6,30.7,COCONINO            ,2.01841
75,1,1,1,N,1.7,18.5,COCONINO            ,2.01841
76,0,9,0, ,0.7,83.1,COCONINO            ,2.01841
77,1,1,1,N,0.9,26.1,COCONINO            ,2.01841
78,1,1,1,N,12.9,4.9,COCONINO            ,2.01841
79,1,1,7,N,0.6,37.2,COCONINO            ,2.01841
80,1,1,1,N,7.7,3.8,COCONINO            ,2.01841
81,1,1,3,N,1.2,67.1,COCONINO            ,2.01841
